'id','Sepal.Length','Sepal.Width','Petal.Length','Petal.Width','Species'
95,5.0,2.3,3.3,1.0,'Versicolor'
96,5.6,2.7,4.2,1.3,'Versicolor'
97,5.7,3.0,4.2,1.2,'Versicolor'
98,5.7,2.9,4.2,1.3,'Versicolor'
99,6.2,2.9,4.3,1.3,'Versicolor'
100,5.1,2.5,3.0,1.1,'Versicolor'
101,5.7,2.8,4.1,1.3,'Versicolor'
102,6.3,3.3,6.0,2.5,'Virginica'
103,5.8,2.7,5.1,1.9,'Virginica'
104,7.1,3.0,5.9,2.1,'Virginica'
105,6.3,2.9,5.6,1.8,'Virginica'
106,6.5,3.0,5.8,2.2,'Virginica'
107,7.6,3.0,6.6,2.1,'Virginica'
108,4.9,2.5,4.5,1.7,'Virginica'
109,7.3,2.9,6.3,1.8,'Virginica'
110,6.7,2.5,5.8,1.8,'Virginica'
111,7.2,3.6,6.1,2.5,'Virginica'
112,6.5,3.2,5.1,2.0,'Virginica'
113,6.4,2.7,5.3,1.9,'Virginica'
114,6.8,3.0,5.5,2.1,'Virginica'
115,5.7,2.5,5.0,2.0,'Virginica'
116,5.8,2.8,5.1,2.4,'Virginica'
117,6.4,3.2,5.3,2.3,'Virginica'
118,6.5,3.0,5.5,1.8,'Virginica'
119,7.7,3.8,6.7,2.2,'Virginica'
120,7.7,2.6,6.9,2.3,'Virginica'
121,6.0,2.2,5.0,1.5,'Virginica'
122,6.9,3.2,5.7,2.3,'Virginica'
123,5.6,2.8,4.9,2.0,'Virginica'
124,7.7,2.8,6.7,2.0,'Virginica'
125,6.3,2.7,4.9,1.8,'Virginica'
126,6.7,3.3,5.7,2.1,'Virginica'
127,7.2,3.2,6.0,1.8,'Virginica'
128,6.2,2.8,4.8,1.8,'Virginica'
129,6.1,3.0,4.9,1.8,'Virginica'
130,6.4,2.8,5.6,2.1,'Virginica'
131,7.2,3.0,5.8,1.6,'Virginica'
132,7.4,2.8,6.1,1.9,'Virginica'
133,7.9,3.8,6.4,2.0,'Virginica'
134,6.4,2.8,5.6,2.2,'Virginica'
135,6.3,2.8,5.1,1.5,'Virginica'
136,6.1,2.6,5.6,1.4,'Virginica'
137,7.7,3.0,6.1,2.3,'Virginica'
138,6.3,3.4,5.6,2.4,'Virginica'
139,6.4,3.1,5.5,1.8,'Virginica'
140,6.0,3.0,4.8,1.8,'Virginica'
141,6.9,3.1,5.4,2.1,'Virginica'
142,6.7,3.1,5.6,2.4,'Virginica'
143,6.9,3.1,5.1,2.3,'Virginica'
144,5.8,2.7,5.1,1.9,'Virginica'
145,6.8,3.2,5.9,2.3,'Virginica'
146,6.7,3.3,5.7,2.5,'Virginica'
147,6.7,3.0,5.2,2.3,'Virginica'
148,6.3,2.5,5.0,1.9,'Virginica'
149,6.5,3.0,5.2,2.0,'Virginica'
150,6.2,3.4,5.4,2.3,'Virginica'
151,5.9,3.0,5.1,1.8,'Virginica'
